"Predictor","Category","Odds_Ratio","95_CI","P_value"
"Household income","$20,000-$39,999","1.01","0.84–1.20","0.953"
"Household income","$40,000-$59,999","0.79","0.66–0.95","0.009"
"Household income","$60,000-$79,999","0.69","0.58–0.83","<0.001"
"Household income","$80,000+","0.51","0.44–0.61","<0.001"
"Drug insurance","No","2.95","2.74–3.18","<0.001"
"Age group","18-34","1.45","1.18–1.81","<0.001"
"Age group","35-49","1.15","0.94–1.43","0.182"
"Age group","50-64","0.84","0.68–1.04","0.097"
"Age group","65+","0.32","0.26–0.40","<0.001"
"Sex","Female","1.09","1.02–1.18","0.014"
"Education","Secondary only","1.32","1.13–1.56","<0.001"
"Education","Post-secondary","1.40","1.20–1.63","<0.001"
"Perceived health","Very good","1.16","1.01–1.32","0.034"
"Perceived health","Good","1.62","1.42–1.85","<0.001"
"Perceived health","Fair","2.70","2.35–3.12","<0.001"
"Perceived health","Poor","3.67","3.09–4.35","<0.001"
"Diabetes","No","0.71","0.64–0.79","<0.001"
"High blood pressure","No","1.08","0.99–1.18","0.068"
